Date,Close,Return_next,Predicted_Close_next,Predicted_Return_next,Signal
16-Nov-16,27375.580000,0.012148,27392.845977,0.000631,HOLD
17-Nov-16,27708.140000,0.006291,27728.803928,0.000746,HOLD
18-Nov-16,27882.460000,-0.001180,27895.953181,0.000484,HOLD
21-Nov-16,27849.560000,-0.006952,27841.741922,-0.000281,HOLD
22-Nov-16,27655.960000,0.017561,27626.714111,-0.001057,SELL
23-Nov-16,28141.640000,0.003019,28159.051883,0.000619,HOLD
24-Nov-16,28226.610000,0.000493,28215.070123,-0.000409,HOLD
25-Nov-16,28240.520000,0.007038,28213.573225,-0.000954,HOLD
28-Nov-16,28439.280000,-0.003661,28438.754697,-0.000018,HOLD
29-Nov-16,28335.160000,-0.001597,28318.089558,-0.000602,HOLD
30-Nov-16,28289.920000,0.001406,28270.067324,-0.000702,HOLD
01-Dec-16,28329.700000,0.000161,28323.445424,-0.000221,HOLD
02-Dec-16,28334.250000,0.000613,28332.789182,-0.000052,HOLD
05-Dec-16,28351.620000,-0.000434,28333.379995,-0.000643,HOLD
06-Dec-16,28339.310000,-0.006484,28333.997547,-0.000187,HOLD
07-Dec-16,28155.560000,0.005175,28157.453152,0.000067,HOLD
08-Dec-16,28301.270000,0.005918,28305.051246,0.000134,HOLD
09-Dec-16,28468.750000,0.006773,28462.773301,-0.000210,HOLD
12-Dec-16,28661.580000,0.003489,28669.348802,0.000271,HOLD
13-Dec-16,28761.590000,0.003585,28751.089900,-0.000365,HOLD
14-Dec-16,28864.710000,0.000979,28862.633930,-0.000072,HOLD
15-Dec-16,28892.970000,-0.002772,28886.657822,-0.000218,HOLD
16-Dec-16,28812.880000,-0.002414,28793.276732,-0.000680,HOLD
19-Dec-16,28743.320000,0.008390,28724.594084,-0.000651,HOLD
20-Dec-16,28984.490000,-0.004992,28983.236884,-0.000043,HOLD
21-Dec-16,28839.790000,-0.000255,28816.455849,-0.000809,HOLD
22-Dec-16,28832.450000,0.007483,28821.999253,-0.000362,HOLD
